Country/Region,Continent,TotalDeaths,TotalRecovered,TotalCases
USA,North America,162804,2576668,2739472
Brazil,South America,98644,2047660,2146304
India,Asia,41638,1377384,1419022
Russia,Europe,14606,676357,690963
South Africa,Africa,9604,387316,396920
Mexico,North America,50517,308848,359365
Peru,South America,20424,310337,330761
Chile,South America,9889,340168,350057
Colombia,South America,11939,192355,204294
Spain,Europe,28500,,28500
Iran,Asia,17976,277463,295439
UK,Europe,46413,,46413
Saudi Arabia,Asia,3055,247089,250144
Pakistan,Asia,6035,256058,262093
Bangladesh,Asia,3306,143824,147130
Italy,Europe,35187,201323,236510
Turkey,Asia,5798,220546,226344
Argentina,South America,4251,99852,104103
Germany,Europe,9252,196200,205452
France,Europe,30312,82460,112772
Iraq,Asia,5161,101025,106186
Philippines,Asia,2150,66837,68987
Indonesia,Asia,5521,75645,81166
Canada,North America,8966,103106,112072
Qatar,Asia,178,108831,109009
Kazakhstan,Asia,1058,68871,69929
Egypt,Africa,4951,48898,53849
Ecuador,South America,5877,71318,77195
Bolivia,South America,3465,27373,30838
Sweden,Europe,5766,,5766
Oman,Asia,492,70910,71402
Israel,Asia,576,53427,54003
Ukraine,Europe,1819,42524,44343
Dominican Republic,North America,1246,40539,41785
Panama,North America,1574,45658,47232
Belgium,Europe,9859,17661,27520
Kuwait,Asia,469,61610,62079
Belarus,Europe,580,63756,64336
UAE,Asia,354,55739,56093
Romania,Europe,2566,28992,31558
Netherlands,Europe,6153,,6153
Singapore,Asia,27,48031,48058
Guatemala,North America,2119,42070,44189
Portugal,Europe,1743,37840,39583
Poland,Europe,1774,35642,37416
Nigeria,Africa,930,32430,33360
Honduras,North America,1423,6116,7539
Bahrain,Asia,156,39945,40101
Japan,Asia,1026,28877,29903
Armenia,Asia,772,31556,32328
Ghana,Africa,199,36384,36583
Kyrgyzstan,Asia,1447,30099,31546
Afghanistan,Asia,1298,25840,27138
Switzerland,Europe,1985,31600,33585
Algeria,Africa,1273,23238,24511
Azerbaijan,Asia,479,29275,29754
Morocco,Africa,449,20553,21002
Uzbekistan,Asia,175,19291,19466
Serbia,Europe,621,14047,14668
Moldova,Europe,828,18676,19504
Ireland,Europe,1768,23364,25132
Kenya,Africa,399,10444,10843
Venezuela,South America,195,12146,12341
Nepal,Asia,65,15389,15454
Austria,Europe,719,19596,20315
Costa Rica,North America,200,7038,7238
Ethiopia,Africa,365,9027,9392
Australia,Australia/Oceania,255,10941,11196
El Salvador,North America,513,9236,9749
Czechia,Europe,390,12320,12710
Cameroon,Africa,391,15320,15711
Ivory Coast,Africa,103,12484,12587
S. Korea,Asia,303,13543,13846
Denmark,Europe,617,12787,13404
Palestine,Asia,92,6907,6999
Bosnia and Herzegovina,Europe,384,7042,7426
Bulgaria,Europe,435,7374,7809
Madagascar,Africa,134,10148,10282
Sudan,Africa,763,6194,6957
North Macedonia,Europe,517,7480,7997
Senegal,Africa,223,7101,7324
Norway,Europe,256,8857,9113
DRC,Africa,215,8048,8263
Malaysia,Asia,125,8713,8838
French Guiana,South America,47,7240,7287
Gabon,Africa,51,5609,5660
Tajikistan,Asia,62,6443,6505
Guinea,Africa,49,6757,6806
Haiti,North America,171,4832,5003
Finland,Europe,331,6980,7311
Zambia,Africa,199,5786,5985
Luxembourg,Europe,119,5750,5869
Mauritania,Africa,157,5291,5448
